id;pescador;estado;cidade;porto;dia;mes;ano;pescado;producao;embarcacao;comprimentoembarcacao;potenciamotor;tipo;ambiente;artepesca
23977;2;Rio de Janeiro;RJ Teste 2;Porto RJ 3;30;8;1998;2;26.5;Barco Motor de Centro;11.7;34;Rio;Lago;Caniço com Ceva
23978;2;Rio de Janeiro;RJ Teste 2;Porto RJ 3;1;9;1999;2;30;Barco Motor de Centro;10;27;Rio;Lago;Espinhel
23979;2;Rio de Janeiro;RJ Teste 2;Porto RJ 3;2;10;2000;2;34.5;Canoa a Remo;9.6;36;Rio;Lago;Zagaia/Flecha/Arpão
23980;2;Rio de Janeiro;RJ Teste 2;Porto RJ 3;3;11;2001;2;30.5;Canoa a Remo;8.6;17;Rio;Lago;Rede de Arrasto
23981;2;Rio de Janeiro;RJ Teste 2;Porto RJ 3;4;12;2002;2;37;Canoa a Remo;8.2;19;Rio;Igarapé;Malhadeira/Rede de Espera
23982;2;Rio de Janeiro;RJ Teste 2;Porto RJ 3;5;1;2003;2;36.5;Canoa a Remo;8.7;20;Rio;Igarapé;Tarrafa
23983;2;Rio de Janeiro;RJ Teste 2;Porto RJ 3;6;2;2004;2;40;Canoa a Remo;9;22;Rio;Igarapé;Caniço
23984;3;Rio de Janeiro;RJ Teste 2;Porto RJ 3;7;3;2005;2;44.5;Canoa a Remo;9.8;16;Rio;Igarapé;Caniço com Ceva
23985;3;Rio de Janeiro;RJ Teste 2;Porto RJ 3;8;4;2006;2;50.5;Canoa a Remo;10.1;19;Rio;Pedral;Espinhel
23986;3;Rio de Janeiro;RJ Teste 2;Porto RJ 4;9;5;2007;2;55.5;Canoa a Remo;7.5;30;Rio;Pedral;Zagaia/Flecha/Arpão
23987;3;Rio de Janeiro;RJ Teste 2;Porto RJ 5;10;6;1978;3;5;Canoa a Remo;7.7;32;Rio;Pedral;Rede de Arrasto
23988;3;Rio de Janeiro;RJ Teste 2;Porto RJ 6;11;7;1979;3;6;Canoa a Remo;10;17;Mar;Pedral;Malhadeira/Rede de Espera
23989;3;Rio de Janeiro;RJ Teste 2;Porto RJ 7;12;8;1980;3;7;Canoa a Remo;6.2;44;Mar;Mangue;Tarrafa
23990;3;Rio de Janeiro;RJ Teste 3;Porto RJ 8;13;9;1981;3;4;Canoa a Remo;6.3;32;Mar;Mangue;Caniço
23991;3;Rio de Janeiro;RJ Teste 3;Porto RJ 9;14;10;1982;3;5;Canoa a Remo;6.8;43;Mar;Mangue;Caniço com Ceva
23992;3;Rio de Janeiro;RJ Teste 3;Porto RJ 10;15;11;1983;3;6;Canoa a Remo;7.3;26;Mar;Meio do Rio;Espinhel
23993;3;Rio de Janeiro;RJ Teste 3;Porto RJ 11;16;12;1987;3;1;Canoa a Remo;9;28;Mar;Meio do Rio;Zagaia/Flecha/Arpão
23994;3;Rio de Janeiro;RJ Teste 3;Porto RJ 12;17;1;1988;3;2;Canoa a Remo;8;30;Mar;Meio do Rio;Rede de Arrasto
23995;3;Rio de Janeiro;RJ Teste 3;Porto RJ 13;18;2;1989;3;4;Canoa a Remo;13;41;Mar;Meio do Rio;Malhadeira/Rede de Espera
23996;3;Rio de Janeiro;RJ Teste 3;Porto RJ 14;19;3;1990;3;2;Canoa a Remo;14;23;Mar;Meio do Rio;Tarrafa
23997;3;Rio de Janeiro;RJ Teste 3;Porto RJ 15;20;4;1991;3;2;Canoa a Remo;14;17;Mar;Meio do Rio;Caniço
23998;3;Rio de Janeiro;RJ Teste 3;Porto RJ 16;5;5;1992;3;2;Canoa a Remo;14;19;Mar;Meio do Rio;Caniço com Ceva
23999;3;Rio de Janeiro;RJ Teste 3;Porto RJ 17;6;5;1993;3;2;Canoa a Remo;1.1;33;Mar;Meio do Rio;Espinhel
24000;3;Rio de Janeiro;RJ Teste 3;Porto RJ 18;7;5;1994;3;2;Barco Motor de Centro;13.1;31;Mar;Meio do Rio;Zagaia/Flecha/Arpão
24001;1;Rio de Janeiro;RJ Teste 3;Porto RJ 9;5;5;1978;3;5;Canoa a Remo;6.8;43;Mar;Mangue;Caniço com Ceva
24002;1;Rio de Janeiro;RJ Teste 3;Porto RJ 10;6;5;1978;3;6;Canoa a Remo;7.3;26;Mar;Meio do Rio;Espinhel
24003;1;Rio de Janeiro;RJ Teste 3;Porto RJ 11;7;5;1978;3;1;Canoa a Remo;9;28;Mar;Meio do Rio;Zagaia/Flecha/Arpão
24004;1;Rio de Janeiro;RJ Teste 3;Porto RJ 12;8;5;1978;3;2;Canoa a Remo;8;30;Mar;Meio do Rio;Rede de Arrasto
24005;1;Rio de Janeiro;RJ Teste 3;Porto RJ 13;9;5;1978;3;4;Canoa a Remo;13;41;Mar;Meio do Rio;Malhadeira/Rede de Espera
24006;1;Rio de Janeiro;RJ Teste 3;Porto RJ 14;10;5;1978;3;2;Canoa a Remo;14;23;Mar;Meio do Rio;Tarrafa
24007;1;Rio de Janeiro;RJ Teste 3;Porto RJ 15;11;5;1978;3;2;Canoa a Remo;14;17;Mar;Meio do Rio;Caniço
24008;1;Rio de Janeiro;RJ Teste 3;Porto RJ 16;12;5;1978;3;2;Canoa a Remo;14;19;Mar;Meio do Rio;Caniço com Ceva
24009;1;Rio de Janeiro;RJ Teste 3;Porto RJ 17;13;5;1978;3;2;Canoa a Remo;1.1;33;Mar;Meio do Rio;Espinhel
24010;1;Rio de Janeiro;RJ Teste 3;Porto RJ 18;14;5;1978;3;2;Barco Motor de Centro;13.1;31;Mar;Meio do Rio;Zagaia/Flecha/Arpão
